season,week,team,implied_team_total
2021,17,SF,15.0
2021,17,DAL,23.25
2021,17,NO,15.0
2021,17,SEA,16.5
2021,17,GB,14.5
2021,17,PIT,22.25
2021,18,DEN,28.0
2021,18,PHI,26.25
2021,18,BAL,19.0
2021,18,CLE,15.75
2021,18,DET,24.5
2021,18,HOU,26.75
2021,18,JAX,28.5
2021,18,MIN,21.0
2021,18,NYG,21.0
2021,18,ARI,21.25
2021,18,ATL,22.25
2021,18,BUF,13.5
2021,18,LA,21.75
2021,18,MIA,23.5
2021,18,TB,16.0
2021,18,LV,25.75
2021,19,CIN,21.25
2021,19,BUF,19.25
2021,19,TB,19.0
2021,19,DAL,24.0
2021,19,KC,16.5
2021,19,LA,22.75
2021,20,TEN,22.25
2021,20,GB,20.75
2021,20,TB,22.75
2021,20,KC,25.75
2021,21,KC,23.75
2021,21,LA,21.0
2021,22,CIN,26.5
2022,1,LA,26.25
2022,1,ATL,24.75
2022,1,CAR,20.0
2022,1,CHI,22.25
2022,1,CIN,18.5
2022,1,DET,27.5
2022,1,HOU,26.5
2022,1,MIA,22.0
2022,1,NYJ,25.25
2022,1,WAS,20.25
2022,1,ARI,30.0
2022,1,LAC,24.5
2022,1,MIN,22.25
2022,1,TEN,19.0
2022,1,DAL,26.0
2022,1,SEA,25.0
2022,2,KC,24.25
2022,2,BAL,20.5
2022,2,CLE,16.0
2022,2,DET,24.75
2022,2,JAX,23.25
2022,2,NO,23.25
2022,2,NYG,22.5
2022,2,PIT,21.5
2022,2,LA,18.0
2022,2,SF,15.75
2022,2,DAL,24.75
2022,2,DEN,17.75
2022,2,LV,23.0
2022,2,GB,15.75
2022,2,BUF,18.75
2022,2,PHI,23.5
2022,3,CLE,16.75
2022,3,CAR,21.5
2022,3,CHI,18.5
2022,3,IND,27.75
2022,3,MIA,29.0
2022,3,MIN,22.75
2022,3,NE,24.0
2022,3,NYJ,26.25
2022,3,TEN,23.5
2022,3,WAS,26.5
2022,3,LAC,19.75
2022,3,ARI,26.25
2022,3,SEA,21.0
2022,3,TB,20.25
2022,3,DEN,22.5
2022,3,NYG,18.75
2022,4,CIN,22.25
2022,4,NO,23.0
2022,4,ATL,24.5
2022,4,BAL,26.5
2022,4,DAL,18.75
2022,4,DET,22.75
2022,4,HOU,25.25
2022,4,IND,19.25
2022,4,NYG,18.0
2022,4,PHI,18.75
2022,4,PIT,19.0
2022,4,CAR,21.5
2022,4,GB,15.25
2022,4,LV,21.5
2022,4,TB,22.75
2022,4,SF,20.5
2022,5,DEN,19.25
2022,5,GB,16.75
2022,5,BUF,15.0
2022,5,CLE,24.0
2022,5,JAX,18.5
2022,5,MIN,17.0
2022,5,NE,21.75
2022,5,NO,20.0
2022,5,NYJ,24.5
2022,5,TB,17.75
2022,5,WAS,22.0
2022,5,CAR,23.0
2022,5,ARI,27.0
2022,5,LA,18.25
2022,5,BAL,22.25
2022,5,KC,22.0
2022,6,CHI,19.75
2022,6,ATL,24.75
2022,6,CLE,20.25
2022,6,GB,18.5
2022,6,IND,20.0
2022,6,MIA,24.0
2022,6,NO,22.75
2022,6,NYG,25.75
2022,6,PIT,28.5
2022,6,LA,15.75
2022,6,SEA,26.25
2022,6,KC,28.25
2022,6,PHI,18.0
2022,6,LAC,21.0
2022,7,ARI,20.75
2022,7,BAL,19.75
2022,7,CAR,26.25
2022,7,CIN,20.5
2022,7,DAL,21.25
2022,7,JAX,20.5
2022,7,TEN,20.25
2022,7,WAS,22.75
2022,7,DEN,19.5
2022,7,LV,19.5
2022,7,LAC,23.0
2022,7,SF,25.0
2022,7,MIA,18.5
2022,7,NE,15.25
2022,8,TB,22.0
2022,8,JAX,20.0
2022,8,ATL,18.25
2022,8,DAL,16.25
2022,8,DET,27.75
2022,8,MIN,22.25
2022,8,NO,24.75
2022,8,NYJ,21.5
2022,8,PHI,16.0
2022,8,HOU,20.0
2022,8,IND,18.75
2022,8,LA,21.5
2022,8,SEA,20.75
2022,8,BUF,18.25
2022,8,CLE,24.0
2022,9,HOU,29.75
2022,9,ATL,26.0
2022,9,CHI,25.0
2022,9,CIN,18.0
2022,9,DET,26.75
2022,9,JAX,25.0
2022,9,NE,17.5
2022,9,NYJ,28.5
2022,9,WAS,23.25
2022,9,ARI,24.0
2022,9,TB,20.0
2022,9,KC,15.5
2022,9,NO,23.5
2022,10,CAR,22.0
2022,10,TB,21.25
2022,10,BUF,20.25
2022,10,CHI,22.75
2022,10,KC,20.75
2022,10,MIA,23.0
2022,10,NYG,18.0
2022,10,PIT,19.25
2022,10,TEN,18.75
2022,10,LV,18.25
2022,10,GB,24.0
2022,10,LA,17.25
2022,10,SF,18.5
2022,10,PHI,16.0
2022,11,GB,18.75
2022,11,ATL,22.75
2022,11,BAL,14.5
2022,11,BUF,21.5
2022,11,HOU,22.0
2022,11,IND,26.0
2022,11,NE,17.5
2022,11,NO,18.5
2022,11,NYG,20.5
2022,11,DEN,19.5
2022,11,MIN,25.0
2022,11,PIT,21.25
2022,11,LAC,29.0
2022,11,ARI,26.75
2022,12,DET,32.0
2022,12,DAL,17.5
2022,12,MIN,20.0
2022,12,CAR,18.75
2022,12,CLE,22.5
2022,12,JAX,23.25
2022,12,MIA,16.5
2022,12,NYJ,14.0
2022,12,TEN,22.0
2022,12,WAS,18.5
2022,12,ARI,25.5
2022,12,SEA,21.75
2022,12,KC,12.75
2022,12,SF,17.25
2022,12,PHI,19.75
2022,12,IND,18.75
2022,13,NE,23.5
2022,13,ATL,22.0
2022,13,BAL,15.5
2022,13,CHI,24.5
2022,13,DET,25.25
2022,13,HOU,27.25
2022,13,MIN,20.5
2022,13,NYG,21.25
2022,13,PHI,19.75
2022,13,LA,24.0
2022,13,SF,20.75
2022,13,CIN,27.75
2022,13,LV,23.25
2022,13,DAL,16.75
2022,13,TB,18.75
2022,14,LA,24.5
2022,14,BUF,16.75
2022,14,CIN,21.25
2022,14,DAL,13.75
2022,14,DET,24.5
2022,14,NYG,26.0
2022,14,PIT,17.75
2022,14,TEN,19.5
2022,14,DEN,26.5
2022,14,SEA,20.5
2022,14,SF,17.25
2022,14,LAC,28.75
2022,14,ARI,23.0
2022,15,SEA,23.0
2022,15,MIN,21.5
2022,15,CLE,18.5
2022,15,BUF,18.5
2022,15,CAR,17.0
2022,15,CHI,28.25
2022,15,HOU,31.5
2022,15,JAX,26.25
2022,15,NO,19.25
2022,15,NYJ,21.0
2022,15,DEN,18.0
2022,15,LV,22.0
2022,15,LAC,21.75
2022,15,TB,25.25
2022,15,WAS,18.0
2022,15,GB,15.75
2022,16,NYJ,17.0
2022,16,BAL,14.25
2022,16,CAR,23.0
2022,16,CHI,24.0
2022,16,CLE,14.5
2022,16,KC,20.0
2022,16,MIN,21.75
2022,16,NE,22.5
2022,16,TEN,15.5
2022,16,SF,15.5
2022,16,DAL,22.0
2022,16,PIT,18.0
2022,16,MIA,22.75
2022,16,LA,19.75
2022,16,ARI,24.5
2022,16,IND,24.0
2022,17,TEN,27.5
2022,17,ATL,17.0
2022,17,DET,24.0
2022,17,HOU,23.25
2022,17,KC,16.25
2022,17,NE,19.25
2022,17,NYG,16.5
2022,17,PHI,18.0
2022,17,TB,18.5
2022,17,WAS,20.25
2022,17,LV,25.75
2022,17,SEA,22.0
2022,17,GB,22.25
2022,17,LAC,17.5
2022,17,BAL,17.25
2022,18,LV,30.25
2022,18,JAX,16.75
2022,18,ATL,17.25
2022,18,BUF,18.0
2022,18,CHI,24.5
2022,18,CIN,14.0
2022,18,IND,17.5
