season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2024,12120,Alabama,Clemson,4,6,89,82,Alabama,Clemson,4,6,0
2024,12121,Purdue,Tennessee,1,2,72,66,Purdue,Tennessee,1,2,0
2024,12122,Duke,NC State,4,11,64,76,Duke,NC State,4,11,1
2024,12126,Purdue,NC State,1,11,63,50,Purdue,NC State,1,11,0
2024,12127,UConn,Alabama,1,4,86,72,UConn,Alabama,1,4,0
2025,209508,Louisville,Creighton,8,9,75,89,Louisville,Creighton,8,9,1
2025,209500,Purdue,High Point,4,13,75,63,Purdue,High Point,4,13,0
2025,209504,Wisconsin,Montana,3,14,85,66,Wisconsin,Montana,3,14,0
2025,209503,Houston,SIU Edwardsville,1,16,78,40,Houston,SIU Edwardsville,1,16,0
2025,209588,Auburn,Alabama State,1,16,83,63,Auburn,Alabama State,1,16,0
2025,209501,Clemson,McNeese,5,12,67,69,Clemson,McNeese,5,12,1
2025,209505,BYU,VCU,6,11,80,71,BYU,VCU,6,11,0
2025,209502,Gonzaga,Georgia,8,9,89,68,Gonzaga,Georgia,8,9,0
2025,209498,Tennessee,Wofford,2,15,77,62,Tennessee,Wofford,2,15,0
2025,209495,Kansas,Arkansas,7,10,72,79,Kansas,Arkansas,7,10,1
2025,209506,Texas A&M,Yale,4,13,80,71,Texas A&M,Yale,4,13,0
2025,209497,Missouri,Drake,6,11,57,67,Missouri,Drake,6,11,1
2025,209499,UCLA,Utah State,7,10,72,47,UCLA,Utah State,7,10,0
2025,209494,St. John's,Omaha,2,15,83,53,St. John's,Omaha,2,15,0
2025,209507,Michigan,UC San Diego,5,12,68,65,Michigan,UC San Diego,5,12,0
2025,209496,Texas Tech,UNC Wilmington,3,14,82,72,Texas Tech,UNC Wilmington,3,14,0
2025,209518,Mississippi State,Baylor,8,9,72,75,Mississippi State,Baylor,8,9,1
2025,209514,Alabama,Robert Morris,2,15,90,81,Alabama,Robert Morris,2,15,0
2025,209521,Iowa State,Lipscomb,3,14,82,55,Iowa State,Lipscomb,3,14,0
2025,209510,Memphis,Colorado State,5,12,70,78,Memphis,Colorado State,5,12,1
2025,209617,Duke,Mount St. Mary's,1,16,93,49,Duke,Mount St. Mary's,1,16,0
2025,209515,Saint Mary's,Vanderbilt,7,10,59,56,Saint Mary's,Vanderbilt,7,10,0
2025,209589,Ole Miss,North Carolina,6,11,71,64,Ole Miss,North Carolina,6,11,0
2025,209509,Maryland,Grand Canyon,4,13,81,49,Maryland,Grand Canyon,4,13,0
2025,209512,Florida,Norfolk State,1,16,95,69,Florida,Norfolk State,1,16,0
2025,209513,Kentucky,Troy,3,14,76,57,Kentucky,Troy,3,14,0
2025,209520,Marquette,New Mexico,7,10,66,75,Marquette,New Mexico,7,10,1
2025,209516,Arizona,Akron,4,13,93,65,Arizona,Akron,4,13,0
2025,209511,UConn,Oklahoma,8,9,67,59,UConn,Oklahoma,8,9,0
2025,209618,Illinois,Xavier,6,11,86,73,Illinois,Xavier,6,11,0
2025,209519,Michigan State,Bryant,2,15,87,62,Michigan State,Bryant,2,15,0
2025,209517,Oregon,Liberty,5,12,81,52,Oregon,Liberty,5,12,0
2025,209626,Purdue,McNeese,4,12,76,62,Purdue,McNeese,4,12,0
2025,209627,St. John's,Arkansas,2,10,66,75,St. John's,Arkansas,2,10,1
2025,209628,Texas A&M,Michigan,4,5,79,91,Texas A&M,Michigan,4,5,1
2025,209629,Texas Tech,Drake,3,11,77,64,Texas Tech,Drake,3,11,0
2025,209630,Auburn,Creighton,1,9,82,70,Auburn,Creighton,1,9,0
2025,209631,Wisconsin,BYU,3,6,89,91,Wisconsin,BYU,3,6,1
2025,209632,Houston,Gonzaga,1,8,81,76,Houston,Gonzaga,1,8,0
2025,209633,Tennessee,UCLA,2,7,67,58,Tennessee,UCLA,2,7,0
2025,209652,Florida,UConn,1,8,77,75,Florida,UConn,1,8,0
2025,209653,Duke,Baylor,1,9,89,66,Duke,Baylor,1,9,0
2025,209655,Kentucky,Illinois,3,6,84,75,Kentucky,Illinois,3,6,0
2025,209654,Alabama,Saint Mary's,2,7,80,66,Alabama,Saint Mary's,2,7,0
2025,209657,Maryland,Colorado State,4,12,72,71,Maryland,Colorado State,4,12,0
2025,209656,Iowa State,Ole Miss,3,6,78,91,Iowa State,Ole Miss,3,6,1
2025,209658,Michigan State,New Mexico,2,10,71,63,Michigan State,New Mexico,2,10,0
2025,209666,Arizona,Oregon,4,5,87,83,Arizona,Oregon,4,5,0
2025,209696,Alabama,BYU,2,6,113,88,Alabama,BYU,2,6,0
2025,209697,Florida,Maryland,1,4,87,71,Florida,Maryland,1,4,0
2025,209698,Duke,Arizona,1,4,100,93,Duke,Arizona,1,4,0
2025,209668,Texas Tech,Arkansas,3,10,85,83,Texas Tech,Arkansas,3,10,0
2025,209702,Michigan State,Ole Miss,2,6,73,70,Michigan State,Ole Miss,2,6,0
2025,209703,Tennessee,Kentucky,2,3,78,65,Tennessee,Kentucky,2,3,0
2025,209671,Auburn,Michigan,1,5,78,65,Auburn,Michigan,1,5,0
2025,209670,Houston,Purdue,1,4,62,60,Houston,Purdue,1,4,0
2025,209723,Florida,Texas Tech,1,3,84,79,Florida,Texas Tech,1,3,0
2025,209724,Duke,Alabama,1,2,85,65,Duke,Alabama,1,2,0
2025,209727,Houston,Tennessee,1,2,69,50,Houston,Tennessee,1,2,0
2025,209728,Auburn,Michigan State,1,2,70,64,Auburn,Michigan State,1,2,0
