season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2017,53929,North Carolina,Butler,1,4,92,80,North Carolina,Butler,1,4,0
2017,53930,Baylor,South Carolina,3,7,50,70,Baylor,South Carolina,3,7,1
2017,53931,Kentucky,UCLA,2,3,86,75,Kentucky,UCLA,2,3,0
2017,53932,Florida,Wisconsin,4,8,84,83,Florida,Wisconsin,4,8,0
2017,53935,Gonzaga,Xavier,1,11,83,59,Gonzaga,Xavier,1,11,0
2017,53936,Kansas,Oregon,1,3,60,74,Kansas,Oregon,1,3,1
2017,53939,Florida,South Carolina,4,7,70,77,Florida,South Carolina,4,7,1
2017,53940,North Carolina,Kentucky,1,2,75,73,North Carolina,Kentucky,1,2,0
2017,53950,Gonzaga,South Carolina,1,7,77,73,Gonzaga,South Carolina,1,7,0
2017,53951,North Carolina,Oregon,1,3,77,76,North Carolina,Oregon,1,3,0
2018,47872,Rhode Island,Oklahoma,7,10,83,78,Rhode Island,Oklahoma,7,10,0
2018,47873,Tennessee,Wright State,3,14,73,47,Tennessee,Wright State,3,14,0
2018,47874,Gonzaga,UNC Greensboro,4,13,68,64,Gonzaga,UNC Greensboro,4,13,0
2018,47875,Kansas,Pennsylvania,1,16,76,60,Kansas,Pennsylvania,1,16,0
2018,47876,Duke,Iona,2,15,89,67,Duke,Iona,2,15,0
2018,47877,Miami,Loyola Chicago,6,11,62,64,Miami,Loyola Chicago,6,11,1
2018,47878,Ohio State,South Dakota State,5,12,81,73,Ohio State,South Dakota State,5,12,0
2018,47879,Seton Hall,NC State,8,9,94,83,Seton Hall,NC State,8,9,0
2018,47880,Villanova,Radford,1,16,87,61,Villanova,Radford,1,16,0
2018,47881,Kentucky,Davidson,5,12,78,73,Kentucky,Davidson,5,12,0
2018,47882,Texas Tech,Stephen F. Austin,3,14,70,60,Texas Tech,Stephen F. Austin,3,14,0
2018,47883,Houston,San Diego State,6,11,67,65,Houston,San Diego State,6,11,0
2018,47884,Virginia Tech,Alabama,8,9,83,86,Virginia Tech,Alabama,8,9,1
2018,47885,Arizona,Buffalo,4,13,68,89,Arizona,Buffalo,4,13,1
2018,47886,Florida,St. Bonaventure,6,11,77,62,Florida,St. Bonaventure,6,11,0
2018,47887,Michigan,Montana,3,14,61,47,Michigan,Montana,3,14,0
2018,47889,Texas A&M,Providence,7,10,73,69,Texas A&M,Providence,7,10,0
2018,47890,Purdue,Cal State Fullerton,2,15,74,48,Purdue,Cal State Fullerton,2,15,0
2018,47891,Wichita State,Marshall,4,13,75,81,Wichita State,Marshall,4,13,1
2018,47892,Cincinnati,Georgia State,2,15,68,53,Cincinnati,Georgia State,2,15,0
2018,47893,North Carolina,Lipscomb,2,15,84,66,North Carolina,Lipscomb,2,15,0
2018,47894,Arkansas,Butler,7,10,62,79,Arkansas,Butler,7,10,1
2018,47895,West Virginia,Murray State,5,12,85,68,West Virginia,Murray State,5,12,0
2018,47896,Nevada,Texas,7,10,87,83,Nevada,Texas,7,10,0
2018,47897,Creighton,Kansas State,8,9,59,69,Creighton,Kansas State,8,9,1
2018,47898,Michigan State,Bucknell,3,14,82,78,Michigan State,Bucknell,3,14,0
2018,47899,Auburn,Charleston,4,13,62,58,Auburn,Charleston,4,13,0
2018,47900,Xavier,Texas Southern,1,16,102,83,Xavier,Texas Southern,1,16,0
2018,47901,Virginia,UMBC,1,16,54,74,Virginia,UMBC,1,16,1
2018,47902,TCU,Syracuse,6,11,52,57,TCU,Syracuse,6,11,1
2018,47903,Clemson,New Mexico State,5,12,79,68,Clemson,New Mexico State,5,12,0
2018,47904,Missouri,Florida State,8,9,54,67,Missouri,Florida State,8,9,1
2018,47906,Villanova,Alabama,1,9,81,58,Villanova,Alabama,1,9,0
2018,47907,Duke,Rhode Island,2,7,87,62,Duke,Rhode Island,2,7,0
2018,47908,Kentucky,Buffalo,5,13,95,75,Kentucky,Buffalo,5,13,0
2018,47909,Tennessee,Loyola Chicago,3,11,62,63,Tennessee,Loyola Chicago,3,11,1
2018,47910,Kansas,Seton Hall,1,8,83,79,Kansas,Seton Hall,1,8,0
2018,47911,Gonzaga,Ohio State,4,5,90,84,Gonzaga,Ohio State,4,5,0
2018,47912,Texas Tech,Florida,3,6,69,66,Texas Tech,Florida,3,6,0
2018,47913,Michigan,Houston,3,6,64,63,Michigan,Houston,3,6,0
2018,47916,Purdue,Butler,2,10,76,73,Purdue,Butler,2,10,0
2018,47917,Michigan State,Syracuse,3,11,53,55,Michigan State,Syracuse,3,11,1
2018,47918,North Carolina,Texas A&M,2,7,65,86,North Carolina,Texas A&M,2,7,1
2018,47919,Cincinnati,Nevada,2,7,73,75,Cincinnati,Nevada,2,7,1
2018,47920,Auburn,Clemson,4,5,53,84,Auburn,Clemson,4,5,1
2018,47921,Kansas State,UMBC,9,16,50,43,Kansas State,UMBC,9,16,0
2018,47922,Xavier,Florida State,1,9,70,75,Xavier,Florida State,1,9,1
2018,47923,West Virginia,Marshall,5,13,94,71,West Virginia,Marshall,5,13,0
2018,47944,Nevada,Loyola Chicago,7,11,68,69,Nevada,Loyola Chicago,7,11,1
2018,47945,Michigan,Texas A&M,3,7,99,72,Michigan,Texas A&M,3,7,0
2018,47946,Kentucky,Kansas State,5,9,58,61,Kentucky,Kansas State,5,9,1
2018,47947,Gonzaga,Florida State,4,9,60,75,Gonzaga,Florida State,4,9,1
2018,47950,Kansas,Clemson,1,5,80,76,Kansas,Clemson,1,5,0
2018,47951,Villanova,West Virginia,1,5,90,78,Villanova,West Virginia,1,5,0
2018,47952,Duke,Syracuse,2,11,69,65,Duke,Syracuse,2,11,0
2018,47953,Purdue,Texas Tech,2,3,65,78,Purdue,Texas Tech,2,3,1
2018,47954,Kansas State,Loyola Chicago,9,11,62,78,Kansas State,Loyola Chicago,9,11,1
2018,47955,Michigan,Florida State,3,9,58,54,Michigan,Florida State,3,9,0
2018,47957,Villanova,Texas Tech,1,3,71,59,Villanova,Texas Tech,1,3,0
2018,47958,Kansas,Duke,1,2,85,81,Kansas,Duke,1,2,0
2018,47968,Michigan,Loyola Chicago,3,11,69,57,Michigan,Loyola Chicago,3,11,0
2018,47970,Villanova,Michigan,1,3,79,62,Villanova,Michigan,1,3,0
2019,41878,Louisville,Minnesota,7,10,76,86,Louisville,Minnesota,7,10,1
2019,41879,LSU,Yale,3,14,79,74,LSU,Yale,3,14,0
2019,41880,Auburn,New Mexico State,5,12,78,77,Auburn,New Mexico State,5,12,0
2019,41881,Florida State,Vermont,4,13,76,69,Florida State,Vermont,4,13,0
2019,41882,Michigan State,Bradley,2,15,76,65,Michigan State,Bradley,2,15,0
2019,41883,Maryland,Belmont,6,11,79,77,Maryland,Belmont,6,11,0
2019,41884,Kansas,Northeastern,4,13,87,53,Kansas,Northeastern,4,13,0
2019,41885,Marquette,Murray State,5,12,64,83,Marquette,Murray State,5,12,1
2019,41886,Nevada,Florida,7,10,61,70,Nevada,Florida,7,10,1
2019,41887,Kentucky,Abilene Christian,2,15,79,44,Kentucky,Abilene Christian,2,15,0
2019,41888,Gonzaga,Fairleigh Dickinson,1,16,87,49,Gonzaga,Fairleigh Dickinson,1,16,0
2019,41889,Villanova,Saint Mary's,6,11,61,57,Villanova,Saint Mary's,6,11,0
2019,41890,Wofford,Seton Hall,7,10,84,68,Wofford,Seton Hall,7,10,0
2019,41891,Michigan,Montana,2,15,74,55,Michigan,Montana,2,15,0
2019,41892,Syracuse,Baylor,8,9,69,78,Syracuse,Baylor,8,9,1
2019,41893,Purdue,Old Dominion,3,14,61,48,Purdue,Old Dominion,3,14,0
2019,41898,Cincinnati,Iowa,7,10,72,79,Cincinnati,Iowa,7,10,1
2019,41899,Ole Miss,Oklahoma,8,9,72,95,Ole Miss,Oklahoma,8,9,1
2019,41900,Texas Tech,Northern Kentucky,3,14,72,57,Texas Tech,Northern Kentucky,3,14,0
2019,41901,Kansas State,UC Irvine,4,13,64,70,Kansas State,UC Irvine,4,13,1
2019,41902,Tennessee,Colgate,2,15,77,70,Tennessee,Colgate,2,15,0
2019,41903,Virginia,Gardner-Webb,1,16,71,56,Virginia,Gardner-Webb,1,16,0
2019,41904,Buffalo,Arizona State,6,11,91,74,Buffalo,Arizona State,6,11,0
2019,41905,Wisconsin,Oregon,5,12,54,72,Wisconsin,Oregon,5,12,1
2019,41906,Utah State,Washington,8,9,61,78,Utah State,Washington,8,9,1
2019,41907,Duke,North Dakota State,1,16,85,62,Duke,North Dakota State,1,16,0
2019,41908,Houston,Georgia State,3,14,84,55,Houston,Georgia State,3,14,0
2019,41909,Mississippi State,Liberty,5,12,76,80,Mississippi State,Liberty,5,12,1
2019,41910,North Carolina,Iona,1,16,88,73,North Carolina,Iona,1,16,0
2019,41911,VCU,UCF,8,9,58,73,VCU,UCF,8,9,1
2019,41912,Iowa State,Ohio State,6,11,59,62,Iowa State,Ohio State,6,11,1
2019,41913,Virginia Tech,Saint Louis,4,13,66,52,Virginia Tech,Saint Louis,4,13,0
2019,41916,LSU,Maryland,3,6,69,67,LSU,Maryland,3,6,0
2019,41917,Kentucky,Wofford,2,7,62,56,Kentucky,Wofford,2,7,0
2019,41918,Michigan,Florida,2,10,64,49,Michigan,Florida,2,10,0
2019,41919,Florida State,Murray State,4,12,90,62,Florida State,Murray State,4,12,0
2019,41920,Gonzaga,Baylor,1,9,83,71,Gonzaga,Baylor,1,9,0
2019,41921,Michigan State,Minnesota,2,10,70,50,Michigan State,Minnesota,2,10,0
2019,41922,Purdue,Villanova,3,6,87,61,Purdue,Villanova,3,6,0
2019,41923,Kansas,Auburn,4,5,75,89,Kansas,Auburn,4,5,1
2019,41927,Tennessee,Iowa,2,10,83,77,Tennessee,Iowa,2,10,0
2019,41928,North Carolina,Washington,1,9,81,59,North Carolina,Washington,1,9,0
2019,41929,Duke,UCF,1,9,77,76,Duke,UCF,1,9,0
2019,41930,Texas Tech,Buffalo,3,6,78,58,Texas Tech,Buffalo,3,6,0
2019,41931,Virginia Tech,Liberty,4,12,67,58,Virginia Tech,Liberty,4,12,0
2019,41932,Virginia,Oklahoma,1,9,63,51,Virginia,Oklahoma,1,9,0
2019,41933,Houston,Ohio State,3,11,74,59,Houston,Ohio State,3,11,0
2019,41934,Oregon,UC Irvine,12,13,73,54,Oregon,UC Irvine,12,13,0
2019,41955,Gonzaga,Florida State,1,4,72,58,Gonzaga,Florida State,1,4,0
2019,41956,Tennessee,Purdue,2,3,94,99,Tennessee,Purdue,2,3,1
2019,41957,Michigan,Texas Tech,2,3,44,63,Michigan,Texas Tech,2,3,1
2019,41958,Virginia,Oregon,1,12,53,49,Virginia,Oregon,1,12,0
2019,41962,Michigan State,LSU,2,3,80,63,Michigan State,LSU,2,3,0
2019,41963,North Carolina,Auburn,1,5,80,97,North Carolina,Auburn,1,5,1
2019,41964,Duke,Virginia Tech,1,4,75,73,Duke,Virginia Tech,1,4,0
2019,41965,Kentucky,Houston,2,3,62,58,Kentucky,Houston,2,3,0
2019,41967,Gonzaga,Texas Tech,1,3,69,75,Gonzaga,Texas Tech,1,3,1
2019,41968,Virginia,Purdue,1,3,80,75,Virginia,Purdue,1,3,0
2019,41969,Kentucky,Auburn,2,5,71,77,Kentucky,Auburn,2,5,1
2019,41970,Duke,Michigan State,1,2,67,68,Duke,Michigan State,1,2,1
2019,41980,Virginia,Auburn,1,5,63,62,Virginia,Auburn,1,5,0
2019,41981,Michigan State,Texas Tech,2,3,51,61,Michigan State,Texas Tech,2,3,1
2019,41982,Virginia,Texas Tech,1,3,85,77,Virginia,Texas Tech,1,3,0
2021,29979,Florida,Virginia Tech,7,10,75,70,Florida,Virginia Tech,7,10,0
2021,29980,Arkansas,Colgate,3,14,85,68,Arkansas,Colgate,3,14,0
2021,29981,Illinois,Drexel,1,16,78,49,Illinois,Drexel,1,16,0
2021,29982,Texas Tech,Utah State,6,11,65,53,Texas Tech,Utah State,6,11,0
2021,29983,Ohio State,Oral Roberts,2,15,72,75,Ohio State,Oral Roberts,2,15,1
2021,29984,Baylor,Hartford,1,16,79,55,Baylor,Hartford,1,16,0
2021,29985,Loyola Chicago,Georgia Tech,8,9,71,60,Loyola Chicago,Georgia Tech,8,9,0
2021,29986,Tennessee,Oregon State,5,12,56,70,Tennessee,Oregon State,5,12,1
2021,29987,Oklahoma State,Liberty,4,13,69,60,Oklahoma State,Liberty,4,13,0
2021,29988,North Carolina,Wisconsin,8,9,62,85,North Carolina,Wisconsin,8,9,1
2021,29989,Houston,Cleveland State,2,15,87,56,Houston,Cleveland State,2,15,0
2021,29990,Purdue,North Texas,4,13,69,78,Purdue,North Texas,4,13,1
2021,29991,Clemson,Rutgers,7,10,56,60,Clemson,Rutgers,7,10,1
2021,29992,San Diego State,Syracuse,6,11,62,78,San Diego State,Syracuse,6,11,1
2021,29993,Villanova,Winthrop,5,12,73,63,Villanova,Winthrop,5,12,0
2021,29994,West Virginia,Morehead State,3,14,84,67,West Virginia,Morehead State,3,14,0
2021,29997,Colorado,Georgetown,5,12,96,73,Colorado,Georgetown,5,12,0
2021,29998,Florida State,UNC Greensboro,4,13,64,54,Florida State,UNC Greensboro,4,13,0
2021,29999,Kansas,Eastern Washington,3,14,93,84,Kansas,Eastern Washington,3,14,0
2021,30000,LSU,St. Bonaventure,8,9,76,61,LSU,St. Bonaventure,8,9,0
2021,30001,Michigan,Texas Southern,1,16,82,66,Michigan,Texas Southern,1,16,0
2021,30002,Creighton,UC Santa Barbara,5,12,63,62,Creighton,UC Santa Barbara,5,12,0
2021,30003,Alabama,Iona,2,15,68,55,Alabama,Iona,2,15,0
2021,30004,USC,Drake,6,11,72,56,USC,Drake,6,11,0
2021,30005,Iowa,Grand Canyon,2,15,86,74,Iowa,Grand Canyon,2,15,0
2021,30006,UConn,Maryland,7,10,54,63,UConn,Maryland,7,10,1
2021,30007,Virginia,Ohio,4,13,58,62,Virginia,Ohio,4,13,1
2021,30008,Oklahoma,Missouri,8,9,72,68,Oklahoma,Missouri,8,9,0
2021,30009,Gonzaga,Norfolk State,1,16,98,55,Gonzaga,Norfolk State,1,16,0
2021,30010,BYU,UCLA,6,11,62,73,BYU,UCLA,6,11,1
2021,30011,Oregon,VCU,7,10,1,0,Oregon,VCU,7,10,0
2021,30012,Texas,Abilene Christian,3,14,52,53,Texas,Abilene Christian,3,14,1
2021,30015,Illinois,Loyola Chicago,1,8,58,71,Illinois,Loyola Chicago,1,8,1
2021,30016,Baylor,Wisconsin,1,9,76,63,Baylor,Wisconsin,1,9,0
2021,30017,West Virginia,Syracuse,3,11,72,75,West Virginia,Syracuse,3,11,1
2021,30018,Arkansas,Texas Tech,3,6,68,66,Arkansas,Texas Tech,3,6,0
2021,30019,Houston,Rutgers,2,10,63,60,Houston,Rutgers,2,10,0
2021,30020,Florida,Oral Roberts,7,15,78,81,Florida,Oral Roberts,7,15,1
2021,30021,Villanova,North Texas,5,13,84,61,Villanova,North Texas,5,13,0
2021,30022,Oklahoma State,Oregon State,4,12,70,80,Oklahoma State,Oregon State,4,12,1
2021,30023,Iowa,Oregon,2,7,80,95,Iowa,Oregon,2,7,1
2021,30024,Gonzaga,Oklahoma,1,8,87,71,Gonzaga,Oklahoma,1,8,0
2021,30025,UCLA,Abilene Christian,11,14,67,47,UCLA,Abilene Christian,11,14,0
2021,30026,Creighton,Ohio,5,13,72,58,Creighton,Ohio,5,13,0
2021,30027,Michigan,LSU,1,8,86,78,Michigan,LSU,1,8,0
2021,30028,Florida State,Colorado,4,5,71,53,Florida State,Colorado,4,5,0
2021,30029,Alabama,Maryland,2,10,96,77,Alabama,Maryland,2,10,0
2021,30030,Kansas,USC,3,6,51,85,Kansas,USC,3,6,1
2021,30042,Loyola Chicago,Oregon State,8,12,58,65,Loyola Chicago,Oregon State,8,12,1
2021,30043,Baylor,Villanova,1,5,62,51,Baylor,Villanova,1,5,0
2021,30044,Arkansas,Oral Roberts,3,15,72,70,Arkansas,Oral Roberts,3,15,0
2021,30045,Houston,Syracuse,2,11,62,46,Houston,Syracuse,2,11,0
2021,30048,Gonzaga,Creighton,1,5,83,65,Gonzaga,Creighton,1,5,0
2021,30049,Michigan,Florida State,1,4,76,58,Michigan,Florida State,1,4,0
2021,30050,Alabama,UCLA,2,11,78,88,Alabama,UCLA,2,11,1
2021,30051,USC,Oregon,6,7,82,68,USC,Oregon,6,7,0
2021,30054,Houston,Oregon State,2,12,67,61,Houston,Oregon State,2,12,0
2021,30055,Baylor,Arkansas,1,3,81,72,Baylor,Arkansas,1,3,0
2021,30056,Gonzaga,USC,1,6,85,66,Gonzaga,USC,1,6,0
2021,30057,Michigan,UCLA,1,11,49,51,Michigan,UCLA,1,11,1
2021,30058,Baylor,Houston,1,2,78,59,Baylor,Houston,1,2,0
2021,30059,Gonzaga,UCLA,1,11,93,90,Gonzaga,UCLA,1,11,0
2022,24675,Colorado State,Michigan,6,11,63,75,Colorado State,Michigan,6,11,1
2022,24676,Providence,South Dakota State,4,13,66,57,Providence,South Dakota State,4,13,0
2022,24677,Boise State,Memphis,8,9,53,64,Boise State,Memphis,8,9,1
2022,24678,Baylor,Norfolk State,1,16,85,49,Baylor,Norfolk State,1,16,0
2022,24679,Tennessee,Longwood,3,14,88,56,Tennessee,Longwood,3,14,0
2022,24680,Iowa,Richmond,5,12,63,67,Iowa,Richmond,5,12,1
2022,24681,Gonzaga,Georgia State,1,16,93,72,Gonzaga,Georgia State,1,16,0
2022,24682,North Carolina,Marquette,8,9,95,63,North Carolina,Marquette,8,9,0
2022,24683,UConn,New Mexico State,5,12,63,70,UConn,New Mexico State,5,12,1
2022,24684,Kentucky,Saint Peter's,2,15,79,85,Kentucky,Saint Peter's,2,15,1
2022,24685,Saint Mary's,Indiana,5,12,82,53,Saint Mary's,Indiana,5,12,0
2022,24686,San Diego State,Creighton,8,9,69,72,San Diego State,Creighton,8,9,1
2022,24687,Arkansas,Vermont,4,13,75,71,Arkansas,Vermont,4,13,0
2022,24688,UCLA,Akron,4,13,57,53,UCLA,Akron,4,13,0
2022,24689,Murray State,San Francisco,7,10,92,87,Murray State,San Francisco,7,10,0
2022,24690,Kansas,Texas Southern,1,16,83,56,Kansas,Texas Southern,1,16,0
2022,24691,Ohio State,Loyola Chicago,7,10,54,41,Ohio State,Loyola Chicago,7,10,0
2022,24692,Auburn,Jacksonville State,2,15,80,61,Auburn,Jacksonville State,2,15,0
2022,24693,Texas Tech,Montana State,3,14,97,62,Texas Tech,Montana State,3,14,0
2022,24694,Purdue,Yale,3,14,78,56,Purdue,Yale,3,14,0
2022,24695,Villanova,Delaware,2,15,80,60,Villanova,Delaware,2,15,0
2022,24696,USC,Miami,7,10,66,68,USC,Miami,7,10,1
2022,24697,Alabama,Notre Dame,6,11,64,78,Alabama,Notre Dame,6,11,1
2022,24698,Texas,Virginia Tech,6,11,81,73,Texas,Virginia Tech,6,11,0
2022,24699,Illinois,Chattanooga,4,13,54,53,Illinois,Chattanooga,4,13,0
2022,24700,Duke,Cal State Fullerton,2,15,78,61,Duke,Cal State Fullerton,2,15,0
2022,24701,Arizona,Wright State,1,16,87,70,Arizona,Wright State,1,16,0
2022,24702,LSU,Iowa State,6,11,54,59,LSU,Iowa State,6,11,1
2022,24703,Michigan State,Davidson,7,10,74,73,Michigan State,Davidson,7,10,0
2022,24704,Houston,UAB,5,12,82,68,Houston,UAB,5,12,0
2022,24705,Seton Hall,TCU,8,9,42,69,Seton Hall,TCU,8,9,1
2022,24706,Wisconsin,Colgate,3,14,67,60,Wisconsin,Colgate,3,14,0
2022,24710,Baylor,North Carolina,1,8,86,93,Baylor,North Carolina,1,8,1
2022,24711,Kansas,Creighton,1,9,79,72,Kansas,Creighton,1,9,0
2022,24712,Tennessee,Michigan,3,11,68,76,Tennessee,Michigan,3,11,1
2022,24713,Providence,Richmond,4,12,79,51,Providence,Richmond,4,12,0
2022,24714,UCLA,Saint Mary's,4,5,72,56,UCLA,Saint Mary's,4,5,0
2022,24715,Murray State,Saint Peter's,7,15,60,70,Murray State,Saint Peter's,7,15,1
2022,24716,Arkansas,New Mexico State,4,12,53,48,Arkansas,New Mexico State,4,12,0
2022,24717,Gonzaga,Memphis,1,9,82,78,Gonzaga,Memphis,1,9,0
2022,24725,Illinois,Houston,4,5,53,68,Illinois,Houston,4,5,1
2022,24726,Villanova,Ohio State,2,7,71,61,Villanova,Ohio State,2,7,0
2022,24727,Duke,Michigan State,2,7,85,76,Duke,Michigan State,2,7,0
2022,24728,Wisconsin,Iowa State,3,11,49,54,Wisconsin,Iowa State,3,11,1
2022,24729,Texas Tech,Notre Dame,3,11,59,53,Texas Tech,Notre Dame,3,11,0
2022,24730,Auburn,Miami,2,10,61,79,Auburn,Miami,2,10,1
2022,24731,Purdue,Texas,3,6,81,71,Purdue,Texas,3,6,0
2022,24732,Arizona,TCU,1,9,85,80,Arizona,TCU,1,9,0
2022,24757,Gonzaga,Arkansas,1,4,68,74,Gonzaga,Arkansas,1,4,1
2022,24758,Villanova,Michigan,2,11,63,55,Villanova,Michigan,2,11,0
2022,24759,Duke,Texas Tech,2,3,78,73,Duke,Texas Tech,2,3,0
2022,24760,Arizona,Houston,1,5,60,72,Arizona,Houston,1,5,1
2022,24761,Purdue,Saint Peter's,3,15,64,67,Purdue,Saint Peter's,3,15,1
2022,24762,Kansas,Providence,1,4,66,61,Kansas,Providence,1,4,0
2022,24763,UCLA,North Carolina,4,8,66,73,UCLA,North Carolina,4,8,1
2022,24764,Miami,Iowa State,10,11,70,56,Miami,Iowa State,10,11,0
2022,24766,Villanova,Houston,2,5,50,44,Villanova,Houston,2,5,0
2022,24767,Duke,Arkansas,2,4,78,69,Duke,Arkansas,2,4,0
2022,24768,Kansas,Miami,1,10,76,50,Kansas,Miami,1,10,0
2022,24769,North Carolina,Saint Peter's,8,15,69,49,North Carolina,Saint Peter's,8,15,0
2022,24776,Kansas,Villanova,1,2,81,65,Kansas,Villanova,1,2,0
2022,24777,Duke,North Carolina,2,8,77,81,Duke,North Carolina,2,8,1
2022,24778,Kansas,North Carolina,1,8,72,69,Kansas,North Carolina,1,8,0
2023,18297,Maryland,West Virginia,8,9,67,65,Maryland,West Virginia,8,9,0
2023,18298,Virginia,Furman,4,13,67,68,Virginia,Furman,4,13,1
2023,18299,Missouri,Utah State,7,10,76,65,Missouri,Utah State,7,10,0
2023,18300,Kansas,Howard,1,16,96,68,Kansas,Howard,1,16,0
2023,18301,Alabama,Texas A&M-Corpus Christi,1,16,96,75,Alabama,Texas A&M-Corpus Christi,1,16,0
2023,18302,San Diego State,Charleston,5,12,63,57,San Diego State,Charleston,5,12,0
2023,18303,Arizona,Princeton,2,15,55,59,Arizona,Princeton,2,15,1
2023,18304,Arkansas,Illinois,8,9,73,63,Arkansas,Illinois,8,9,0
2023,18305,Iowa,Auburn,8,9,75,83,Iowa,Auburn,8,9,1
2023,18306,Duke,Oral Roberts,5,12,74,51,Duke,Oral Roberts,5,12,0
2023,18307,Northwestern,Boise State,7,10,75,67,Northwestern,Boise State,7,10,0
2023,18308,Texas,Colgate,2,15,81,61,Texas,Colgate,2,15,0
2023,18309,Houston,Northern Kentucky,1,16,63,52,Houston,Northern Kentucky,1,16,0
2023,18310,Tennessee,Louisiana,4,13,58,55,Tennessee,Louisiana,4,13,0
2023,18311,UCLA,UNC Asheville,2,15,86,53,UCLA,UNC Asheville,2,15,0
2023,18312,Texas A&M,Penn State,7,10,59,76,Texas A&M,Penn State,7,10,1
2023,18313,Michigan State,USC,7,10,72,62,Michigan State,USC,7,10,0
2023,18314,Xavier,Kennesaw State,3,14,72,67,Xavier,Kennesaw State,3,14,0
2023,18315,Baylor,UC Santa Barbara,3,14,74,56,Baylor,UC Santa Barbara,3,14,0
2023,18316,Saint Mary's,VCU,5,12,63,51,Saint Mary's,VCU,5,12,0
2023,18317,Marquette,Vermont,2,15,78,61,Marquette,Vermont,2,15,0
2023,18318,Iowa State,Pittsburgh,6,11,41,59,Iowa State,Pittsburgh,6,11,1
2023,18319,Creighton,NC State,6,11,72,63,Creighton,NC State,6,11,0
2023,18320,UConn,Iona,4,13,87,63,UConn,Iona,4,13,0
2023,18321,Purdue,Fairleigh Dickinson,1,16,58,63,Purdue,Fairleigh Dickinson,1,16,1
2023,18322,Kentucky,Providence,6,11,61,53,Kentucky,Providence,6,11,0
2023,18323,Gonzaga,Grand Canyon,3,14,82,70,Gonzaga,Grand Canyon,3,14,0
2023,18324,Miami,Drake,5,12,63,56,Miami,Drake,5,12,0
2023,18325,Memphis,Florida Atlantic,8,9,65,66,Memphis,Florida Atlantic,8,9,1
2023,18326,Kansas State,Montana State,3,14,77,65,Kansas State,Montana State,3,14,0
2023,18327,TCU,Arizona State,6,11,72,70,TCU,Arizona State,6,11,0
2023,18328,Indiana,Kent State,4,13,71,60,Indiana,Kent State,4,13,0
2023,18329,San Diego State,Furman,5,13,75,52,San Diego State,Furman,5,13,0
2023,18330,Tennessee,Duke,4,5,65,52,Tennessee,Duke,4,5,0
2023,18331,Kansas,Arkansas,1,8,71,72,Kansas,Arkansas,1,8,1
2023,18332,Missouri,Princeton,7,15,63,78,Missouri,Princeton,7,15,1
2023,18333,Houston,Auburn,1,9,81,64,Houston,Auburn,1,9,0
2023,18334,Texas,Penn State,2,10,71,66,Texas,Penn State,2,10,0
2023,18335,UCLA,Northwestern,2,7,68,63,UCLA,Northwestern,2,7,0
2023,18336,Alabama,Maryland,1,8,73,51,Alabama,Maryland,1,8,0
2023,18343,Xavier,Pittsburgh,3,11,84,73,Xavier,Pittsburgh,3,11,0
2023,18344,Kansas State,Kentucky,3,6,75,69,Kansas State,Kentucky,3,6,0
2023,18345,Marquette,Michigan State,2,7,60,69,Marquette,Michigan State,2,7,1
2023,18346,UConn,Saint Mary's,4,5,70,55,UConn,Saint Mary's,4,5,0
2023,18347,Baylor,Creighton,3,6,76,85,Baylor,Creighton,3,6,1
