season,team,total_minutes,returning_minutes,continuity_pct
2017,Southern Oregon,200,0,0.0
2017,Mount Saint Mary (NY),200,0,0.0
2017,Goshen,200,90,0.45
2017,Carolina University,200,21,0.105
2017,LeTourneau,400,314,0.785
2017,Loyola New Orleans,400,393,0.9825
2017,Colorado Christian,400,307,0.7675
2017,Corban College,200,102,0.51
2017,Western Oregon,200,107,0.535
2017,Truett-McConnell,400,128,0.32
2017,Emerson,200,138,0.69
2017,Tusculum,200,106,0.53
2017,Crowley's Ridge,200,99,0.495
2017,Randall University,400,335,0.8375
2017,Florida National,400,55,0.1375
2017,Ecclesia,600,342,0.57
2017,John Jay College,200,0,0.0
2017,Texas College,200,119,0.595
2017,Saint Mary's (MN),200,110,0.55
2017,Trinity Christian (IL),400,333,0.8325
2017,Southern Virginia,200,80,0.4
2017,Spring Hill,400,214,0.535
2017,East-West University,200,0,0.0
2017,Southern Wesleyan,400,0,0.0
2017,Fisher College,600,459,0.765
2017,Mitchell College,200,42,0.21
2017,Mansfield,200,0,0.0
2017,Edward Waters,400,166,0.415
2017,Minnesota Crookston,200,26,0.13
2017,Ferrum,400,302,0.755
2017,Florida Tech,200,152,0.76
